YearBuilt,SqFootageFinishedLiving,ADDRESS,ASSESSMENT,LOTSQFT.x
2002,3783,1876 WESTVIEW RD ,983600,10497.96
2000,2424,921 ROSSER LN ,844300,14549.04
2001,3638,1122 PRESTON AVE A&B,434100,7971.48
1981,1008,604 10 1/2 ST NW ,179100,6490.44
1994,1226,1223 JOHN ST ,252700,5096.52
1994,1226,1221 JOHN ST ,252700,4791.6
1993,1226,1219 JOHN ST ,265800,4791.6
1994,1226,1217 JOHN ST ,252700,4835.16
NA,NA,0 JOHN ST ,0,4356
2007,1088,1211 JOHN ST ,283500,1742.4
2007,1536,1209 JOHN ST ,384100,2178
2007,1446,1207 JOHN ST ,397700,2613.6
2007,1536,1203 JOHN ST ,400500,2178
2007,1088,1201 JOHN ST ,280500,1742.4
1917,3023,1805 FENDALL AVE ,793300,12893.76
2002,4284,805 FENDALL TER ,1318100,18948.6
1966,309,1800 JEFFERSON PARK AVE 1005,132100,0
1920,3672,600 MASSIE RD ,85759800,3516163.2
NA,NA,110 13TH ST NW ,843500,11456.28
NA,NA,1200-06 WERTLAND ST ,5198400,871200
NA,NA,1000 WERTLAND ST ,273900,6751.8
NA,NA,129 10TH ST NW ,1022500,29795.04
NA,NA,0 10TH ST NW ,146500,3354.12
NA,NA,0 10 1/2 ST NW ,38100,871.2
NA,NA,0 BARRACKS RD ,233800,36198.36
1940,3742,2028 BARRACKS RD ,1108900,82676.88
NA,NA,1106 W MAIN ST ,896000,10497.96
NA,NA,1102 W MAIN ST ,821700,9626.76
NA,NA,112 11TH ST SW ,7632900,23086.8
1939,5446,1930 BARRACKS RD ,1433800,32670
NA,NA,914-918 W MAIN ST ,887500,12719.52
NA,NA,0 BARRACKS RD ,276300,59633.64
NA,NA,120 11TH ST SW ,1090500,18513
NA,NA,0 11TH ST SW ,797500,17685.36
NA,NA,117 11TH ST SW ,22959300,61071.12
NA,NA,0 11TH ST SW ,161200,522.72
NA,NA,1224 JEFFERSON PARK AVE ,1486000,18861.48
NA,NA,1222 JEFFERSON PARK AVE & PARK ,69600,6054.84
1939,2633,1920 BARRACKS RD ,973900,88252.56
1950,1152,1851 WESTVIEW RD ,615700,40989.96
1954,3752,1855 WESTVIEW RD ,1046300,44387.64
NA,NA,1215 LEE ST ,385384000,910796.04
NA,NA,1215 LEE ST ,385384000,910796.04
NA,NA,1215 LEE ST ,385384000,910796.04
1952,2235,1857 WESTVIEW RD ,611400,37505.16
