index,lat,lon,use_type,use_code,year_built,gross_area,story_height,number_of_stories,Address,fire,Fire,Fire_final
0,38.0306367,-78.47063729999998,R,Elementary Sch (Entire),1930.0,815.0,12.0,1.0,402 11TH ST,0,0.0,0.0
1,,,C,Commercial,1963.0,1134.0,12.0,1.0,243 ZAN RD,0,0.0,0.0
2,,,R,Mini-warehouse,2000.0,400.0,12.0,1.0,117 NORTH BAKER ST,0,0.0,0.0
3,,,R,Mini-warehouse,2000.0,21600.0,18.0,2.0,702 WEST ST,0,0.0,0.0
4,38.0340615,-78.4898759,R,Mini-warehouse,2000.0,22376.0,18.0,2.0,302 8TH ST,0,0.0,0.0
5,38.040634000000004,-78.47008829999999,R,Mini-warehouse,2000.0,400.0,12.0,1.0,607 WATSON AVE,0,0.0,0.0
6,,,R,Mini-warehouse,2000.0,21600.0,18.0,2.0,623 WATSON AVE,0,0.0,0.0
7,,,R,Office Building,1977.0,1618.0,10.0,2.0,1502 SHORT 18TH ST,0,0.0,0.0
8,38.0339174,-78.47250820000001,R,Commercial,2013.0,20023.0,16.0,0.0,519 LEXINGTON AVE,0,0.0,0.0
9,38.017324,-78.484605,R,Office Building,1988.0,18000.0,12.0,2.0,1453 AVON ST,0,0.0,0.0
10,38.0362217,-78.4749724,R,Office Building,1988.0,12000.0,24.0,1.0,632 PARK ST,0,0.0,0.0
11,38.0352971,-78.4749058,R,Office Building,1988.0,49500.0,24.0,1.0,616 PARK ST,0,0.0,0.0
12,,,R,Office Building,1987.0,4000.0,10.0,1.0,611 PARK ST,0,0.0,0.0
13,38.0349939,-78.4747282,R,Office Building,1987.0,4000.0,12.0,1.0,614 PARK ST,0,0.0,0.0
14,,,R,Office Building,1987.0,1165.0,10.0,1.0,532 PARK ST,0,0.0,0.0
15,38.03425,-78.47479899999998,R,Office Building,1987.0,1422.0,11.0,1.0,620 FARISH ST,0,0.0,0.0
16,38.044189200000005,-78.46664709999999,R,Office Building,1987.0,1493.0,11.0,1.0,1011 COTTONWOOD RD,0,1.0,1.0
17,38.0512745,-78.4945728,R,Industrial Light Manufacturing,1994.0,41088.0,12.0,2.0,1310 BLUE RIDGE RD,0,0.0,0.0
19,38.021495,-78.51653999999998,R,Office Building,1921.0,1416.0,8.0,1.5,2421 JEFFERSON PARK AVE,0,0.0,0.0
20,38.021448,-78.5131045,R,Medical Office,1993.0,8860.0,10.0,2.0,111 HAMMOND ST,0,0.0,0.0
21,38.0410604,-78.47819840000001,C,Apartments over 20 units,1972.0,18024.0,12.0,3.0,1717 ALLIED ST,0,0.0,0.0
22,38.0288473,-78.47301879999998,R,Commercial,1995.0,1440.0,14.0,1.0,210 10TH ST,0,0.0,0.0
23,38.0288473,-78.47301879999998,R,Commercial,1975.0,900.0,14.0,1.0,210 10TH ST,0,0.0,0.0
24,38.022176400000006,-78.51516889999998,R,Apartments 1-10 units,1972.0,2876.0,12.0,2.0,2417 JEFFERSON PARK AVE,0,0.0,0.0
25,38.021448,-78.5131045,R,Office Building,1885.0,8561.0,12.0,3.5,111 HAMMOND ST,0,0.0,0.0
26,38.0400502,-78.48831380000001,R,Barber Shop,1961.0,625.0,12.0,1.0,925 HENRY AVE,0,0.0,0.0
27,38.0400502,-78.48831380000001,R,Restaurant,1961.0,1267.0,12.0,1.0,925 HENRY AVE,0,0.0,0.0
28,38.041910200000004,-78.5018541,R,Storage Warehouse,1987.0,16420.0,22.0,1.0,44 UNIVERSITY CIR,0,0.0,0.0
29,38.0385527,-78.50021269999999,R,Office Building,0.0,31220.0,40.0,1.0,1534 VIRGINIA AVE,0,0.0,0.0
30,38.0310732,-78.471598,,Office Building,1990.0,3168.0,12.0,1.0,400 10TH ST,0,0.0,0.0
31,,,R,Apartments over 20 units,2013.0,3120.0,9.0,1.0,821 CABELL AVE,0,0.0,0.0
32,38.039718,-78.4845402,R,Commercial,1975.0,768.0,10.0,1.0,802 CYNTHIANNA AVE,0,0.0,0.0
33,38.039718,-78.4845402,R,Service Repair Garage,1973.0,6136.0,12.0,1.0,802 CYNTHIANNA AVE,0,0.0,0.0
34,38.0304142,-78.4872613,C,Office Building,1942.0,721.0,10.0,1.0,416 MAIN ST,0,0.0,0.0
35,,,R,Commercial,1912.0,780.0,10.0,1.0,1102 LEONARD ST,0,0.0,0.0
36,38.02800310000001,-78.51135190000001,R,Medical Office,1956.0,1975.0,12.0,1.0,1821 JEFFERSON PARK AVE,0,0.0,0.0
37,38.042313899999996,-78.4617181,R,Office Building,1923.0,305.0,10.0,1.0,1033 LOCUST AVE,0,0.0,0.0
38,38.033823100000006,-78.47939020000003,R,Medical Office,1998.0,2978.0,10.0,2.0,415 2ND ST,0,0.0,0.0
39,,,R,Medical Office,1989.0,1126.0,10.0,1.0,1608 OXFORD RD,0,0.0,0.0
40,,,R,Office,1989.0,1274.0,10.0,1.0,1413 SHORT 18TH ST,0,0.0,0.0
42,,,R,Office Building,1890.0,,,,440 2ND ST,0,0.0,0.0
43,38.0331434,-78.4749946,R,Medical Office,1948.0,1578.0,8.0,1.5,508 7TH ST,0,0.0,0.0
44,38.0241316,-78.462823,R,Medical Office,1948.0,65.0,8.0,1.0,1518 MARKET ST,0,0.0,0.0
45,,,R,Office Building,1939.0,1588.0,10.0,1.9,762 MADISON AVE,0,0.0,0.0
46,38.0635625,-78.49301949999999,R,Office Building,1921.0,847.0,8.0,1.0,1924 SWANSON DR,0,0.0,0.0
47,38.039998,-78.487985,R,Office Building,1927.0,362.0,8.0,1.0,921 HENRY AVE,0,0.0,0.0
48,,,R,Office Building,1900.0,2758.0,10.0,2.0,604 15TH ST,0,0.0,0.0
49,,,R,Office Building,1900.0,482.0,10.0,1.0,216 DOUGLAS AVE,0,0.0,0.0
50,,,R,Office Building,1947.0,868.0,12.0,1.0,205 SHAMROCK RD,0,0.0,0.0
51,,,R,Retail Store,1920.0,3138.0,10.0,1.0,2709 ETON RD,0,0.0,0.0
52,,,R,Office Building,1920.0,199.0,8.0,1.0,235 STRIBLING AVE,0,0.0,0.0
53,,,R,Commercial,1954.0,349.0,8.0,1.0,111 RAYMOND AVE,0,0.0,0.0
54,,,R,Multiple Commercial Use,1966.0,39540.0,14.0,1.0,911 PAOLI ST,0,0.0,0.0
55,,,R,Storage Warehouse,1945.0,3254.0,12.0,2.0,728 MADISON AVE,0,0.0,0.0
56,38.0413468,-78.49361640000001,R,Storage Warehouse,1945.0,3200.0,12.0,1.0,726 MADISON AVE,0,0.0,0.0
57,38.0429573,-78.50018859999999,R,Office Building,1977.0,3200.0,10.0,1.0,611 RUGBY RD,0,0.0,0.0
58,,,R,Commercial,1987.0,1091.0,12.0,1.0,2411 SUNSET RD,0,0.0,0.0
59,,,R,Commercial,1987.0,1191.0,12.0,1.0,108 RAYMOND AVE,0,0.0,0.0
60,38.028643,-78.5090309,R,Office Building,1890.0,104.0,10.0,1.0,1800 JEFFERSON PARK AVE,0,0.0,0.0
