Match_addr,X,Y,IN_AlarmDa,FR_Cause_1
1002 POPLAR ST,11491711.1,3900003.516,2003-01-08T00:00:00.000Z,"Cause, other"
905 FOREST ST,11487115.38,3901740.38,2002-11-07T00:00:00.000Z,Intentional
219 5TH ST SW,11486156.31,3898387.48,2002-11-14T00:00:00.000Z,NULL
822 HARDY DR,11485095.42,3899813.565,2002-12-17T00:00:00.000Z,Intentional
1526 TRAILRIDGE RD,11482326.13,3895741.091,2003-01-09T00:00:00.000Z,Cause under investigation
1421 HAZEL ST,11493481.16,3899784.434,2003-01-13T00:00:00.000Z,Unintentional
975 EMMET ST N,11481788.93,3905895.742,2003-01-15T00:00:00.000Z,Unintentional
1604 JAMESTOWN DR,11490534.12,3909783.585,2003-01-24T00:00:00.000Z,NULL
614 DICE ST,11485672,3898393.542,2003-01-27T00:00:00.000Z,Unintentional
1600 6TH ST SE #23,11486800.1,3893789.929,2003-01-18T00:00:00.000Z,Cause undetermined after investigation
1011 COTTONWOOD RD,11492540.41,3903750.352,2003-01-31T00:00:00.000Z,Unintentional
1600 6TH ST SE #23,11486800.1,3893789.929,2003-01-30T00:00:00.000Z,Cause under investigation
1000 RIDGE ST,11484650.53,3894667.138,2003-01-12T00:00:00.000Z,Intentional
1800 MONTICELLO RD,11490683.37,3893318.373,2003-02-05T00:00:00.000Z,Cause undetermined after investigation
1023 GROVE ST,11483252.11,3898435.864,2003-02-15T00:00:00.000Z,Unintentional
222 14TH ST NW #1,11483333.42,3900629.17,2003-02-13T00:00:00.000Z,Unintentional
1400 MELBOURNE RD,11489927.84,3906857.363,2003-02-19T00:00:00.000Z,NULL
1115 FOREST ST #A,11487601.9,3902363.36,2003-02-26T00:00:00.000Z,Unintentional
732 WALNUT ST,11490910.52,3896791.046,2003-03-03T00:00:00.000Z,Failure of equipment or heat source
2134 BARRACKS RD,11482974.61,3907456.311,2003-03-13T00:00:00.000Z,Failure of equipment or heat source
319 E MAIN ST,11488832.2,3898727.254,2003-03-12T00:00:00.000Z,NULL
801 ORANGEDALE AVE,11483528.06,3895607.183,2003-03-19T00:00:00.000Z,Failure of equipment or heat source
768 PROSPECT AVE #A,11484583.11,3896096.156,2003-03-24T00:00:00.000Z,Cause undetermined after investigation
768 PROSPECT AVE #A,11484583.11,3896096.156,2003-03-24T00:00:00.000Z,"Cause, other"
1222 JEFFERSON PARK AVE,11483430.68,3899614.267,2003-03-25T00:00:00.000Z,NULL
1408 JEFFERSON PARK AVE,11482245.34,3899256.438,2003-03-25T00:00:00.000Z,Unintentional
1215 LEE ST,11483404.36,3899020.127,2003-03-26T00:00:00.000Z,NULL
904 1ST ST S #A,11486987.1,3895915.231,2003-04-02T00:00:00.000Z,Failure of equipment or heat source
1254 EMMET ST N,11483795.76,3907682.692,2003-04-03T00:00:00.000Z,NULL
235 HEREFORD DR,11477183.31,3898472.445,2003-04-03T00:00:00.000Z,NULL
1254 EMMET ST N,11483795.76,3907682.692,2003-04-06T00:00:00.000Z,NULL
1154 5TH ST SW,11482227.28,3891948.019,2003-04-06T00:00:00.000Z,NULL
113 HARMON ST,11479186.32,3897787.256,2003-04-11T00:00:00.000Z,Failure of equipment or heat source
1001 BIRDWOOD RD,11488941.89,3903379.507,2003-04-13T00:00:00.000Z,NULL
2111 MICHIE DR #100,11486601.83,3909596.579,2003-04-06T00:00:00.000Z,NULL
1800 JEFFERSON PARK AVE #37,11480288.18,3898145.697,2003-02-21T00:00:00.000Z,Unintentional
400 E WATER ST #A,11488851.41,3898248.939,2003-04-14T00:00:00.000Z,Failure of equipment or heat source
1513 WESTWOOD RD,11487198.01,3903937.129,2003-04-27T00:00:00.000Z,NULL
119 W MAIN ST,11488093.89,3899018.322,2003-05-04T00:00:00.000Z,Unintentional
1300 LONG ST,11493626.36,3900671.265,2003-05-06T00:00:00.000Z,Failure of equipment or heat source
2104 ARLINGTON BLVD #11,11480977.78,3905654.223,2003-05-13T00:00:00.000Z,NULL
